*** Books Per Decade ***
Decade Start Year,Book Count
1810,1
1820,1
1850,2
1860,2
1870,3
1880,2
1890,7
1900,7
1910,2
1920,2
1930,3
1940,2
1950,8
1960,2
1970,2
1980,2
1990,2

*** Top 10 Authors ***
Author,Book Count
H. G. Wells,6
C.S. Lewis,4
Фёдор Михайлович Достоевский,2
Ray Bradbury,2
Mary Shelley,2
L. Frank Baum,2
Jules Verne,2
George Orwell,2
"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1
Sinclair Lewis,1
